name,manager_tenure,inception_date,asset_in_mil,turnover_rates,minimum_investment,load,net_expense_ratio,gross_expense_ratio
Hotchkis & Wiley Small Cap Value Fund Class A (HWSAX),20 years,$538.71,09/20/1985,36%,"$2,500",Y,1.25%,1.25%
JPMorgan SmartRetirement® 2030 Fund Class I (JSMSX),20 years,"$6,413.46",05/15/2006,51%,"$1,000,000",N,0.67%,0.68%
AB Select US Long/Short Portfolio Class A (ASLAX),20 years,"$1,581.48",12/12/2012,181%,"$2,500",Y,1.88%,1.9%
Eaton Vance Global Income Builder Fund Class C (EDICX),20 years,$304.31,11/30/2005,118%,"$2,500",N,1.92%,1.95%
ICON Utilities and Income Fund Investor Class (ICTVX),20 years,$44.22,07/09/1997,24%,"$2,500",N,1.48%,1.72%
Goldman Sachs Small Cap Equity Insights Fund Class C (GCSCX),20 years,$609.84,08/15/1997,141%,"$1,000",N,1.96%,2.04%
Schwab Small-Cap Equity Fund™ (SWSCX),20 years,$670.89,07/01/2003,113%,"$2,500",N,1.1%,1.1%
Delaware International Small Cap Fund Class C (DGGCX),20 years,$114.07,12/29/2008,66%,"$2,500",N,2.12%,2.29%
JPMorgan Value Advantage Fund Class C (JVACX),20 years,"$10,994.39",02/28/2005,29%,"$1,000",N,1.54%,1.64%
American Century Mid Cap Value Fund A Class (ACLAX),20 years,"$8,487.63",03/31/2004,65%,$250,Y,1.23%,1.23%
Franklin LifeSmart™ 2035 Retirement Target Fund Class C (FTRCX),20 years,$128.91,08/01/2006,47.82%,"$1,000",N,1.45%,1.83%
Janus Henderson Emerging Markets Fund Class A (HEMAX),20 years,$107.33,12/31/2010,110%,"$2,500",Y,1.38%,1.87%
Victory Sophus Emerging Markets Fund Class A (GBEMX),20 years,$526.62,05/01/1997,96%,"$2,500",Y,1.34%,1.64%
Invesco Real Estate Fund Class A (IARAX),20 years,"$2,120.10",05/01/1995,59%,"$1,000",Y,1.28%,1.28%
Victory Strategic Allocation Fund Class A (SBALX),20 years,$29.43,12/10/1993,13%,"$2,500",Y,1.11%,1.52%
Brown Advisory Emerging Markets Select Fund Advisor Shares (BAQAX),20 years,$555.79,12/12/2012,61%,"$2,500",N,1.57%,1.57%
Cullen Value Fund Retail Class (CVLEX),20 years,$28.29,08/31/2012,40%,"$2,500",N,1.01%,2.32%
EuroPac International Value Fund Class A (EPIVX),20 years,$110.42,04/07/2010,13%,"$2,500",Y,1.75%,1.81%
Harding Loevner Institutional Emerging Markets Portfolio Class I (HLMEX),20 years,"$6,493.98",10/17/2005,23%,"$100,000",N,1.1%,1.12%
JPMorgan U.S. Applied Data Science Value Fund Class C (JIVCX),20 years,$249.99,02/28/2003,79%,"$1,000",N,1.23%,1.5%
Wells Fargo Spectrum Moderate Growth Fund Class C (WGBFX),20 years,$556.67,10/01/1997,120%,"$1,000",N,1.81%,1.81%
Aberdeen Global Infrastructure Fund Class A (AIAFX),20 years,$58.30,11/03/2008,23.76%,"$2,500",Y,1.24%,1.5%
AQR Diversified Arbitrage Fund Class N (ADANX),20 years,"$1,224.03",01/15/2009,361%,"$1,000,000",N,2.37%,2.43%
PGIM Global Real Estate Fund- Class R2 (PUREX),20 years,"$1,541.91",05/05/1998,158%,"$2,500",N,1.3%,6.67%
USAA Target Retirement 2040 Fund (URFRX),20 years,"$1,633.55",07/31/2008,20%,"$2,500",N,0.58%,0.58%
American Funds 2025 Target Date Retirement Fund® Class A (AADTX),20 years,"$33,744.33",02/01/2007,12%,$250,Y,0.67%,0.67%
BlackRock Global Dividend Portfolio Investor A Shares (BABDX),20 years,"$1,613.20",04/07/2008,86%,"$1,000",Y,1.01%,1.01%
Loomis Sayles Small Capital Value Fund Retail Class (LSCRX),20 years,$614.45,05/13/1991,23%,"$2,500",N,1.15%,1.2%
Nationwide American Century Small Cap Income Fund Class A (NWUAX),20 years,$130.62,12/21/2007,35.55%,"$2,500",Y,1.31%,1.33%
Victory INCORE Investment Grade Convertible Fund Class A (SBFCX),20 years,$424.94,04/14/1988,34%,"$2,500",Y,1.38%,1.38%
Harbor International Fund Institutional Class (HAINX),20 years,"$4,600.39",12/29/1987,12%,"$50,000",N,0.77%,0.89%
Rydex Real Estate Fund Class H (RYHRX),20 years,$8.78,02/20/2004,499%,"$2,500",N,1.66%,1.66%
American Century Value Fund Investor Class (TWVLX),20 years,"$2,389.31",09/01/1993,53%,"$2,500",N,1%,1%
JPMorgan SmartRetirement® Blend 2030 Fund Class I (JRBEX),20 years,"$2,689.89",07/02/2012,54%,"$1,000,000",N,0.44%,0.64%
Rydex Real Estate Fund Class A (RYREX),20 years,$8.78,02/20/2004,499%,"$2,500",Y,1.7%,1.7%
Rydex S&P MidCap 400 Pure Value Fund Class A (RYMVX),20 years,$61.95,02/20/2004,454%,"$2,500",Y,1.59%,1.59%
Rydex S&P MidCap 400 Pure Value Fund Class H (RYAVX),20 years,$61.95,02/20/2004,454%,"$2,500",N,1.54%,1.54%
American Funds 2025 Target Date Retirement Fund® Class F-1 (FAPTX),20 years,"$33,744.33",02/01/2007,12%,$250,N,0.69%,0.69%
Artisan Global Value Fund Advisor Class (APDGX),20 years,"$2,473.80",12/10/2007,37.09%,"$250,000",N,1.15%,1.15%
Harbor Diversified International All Cap Fund Institutional Class (HAIDX),20 years,"$1,205.07",11/02/2015,25%,"$50,000",N,0.8%,0.93%
PIMCO RAE PLUS Fund Class A (PIXAX),20 years,"$1,588.14",06/30/2005,271%,"$1,000",Y,1.2%,1.2%
ProFunds Mid Cap Value Fund Investor Class (MLPIX),20 years,$9.95,09/04/2001,322%,"$15,000",N,1.78%,2.1%
Vanguard Developed Markets Index Fund Admiral Shares (VTMGX),20 years,"$163,643.82",08/17/1999,3%,"$2,500",N,0.07%,0.07%
Ladenburg Growth & Income Fund Class I (LOWIX),20 years,$186.22,08/24/2015,21.02%,"$1,000,000",N,0.9%,0.9%
Matisse Discounted Closed-End Fund Strategy Institutional Class Shares (MDCEX),20 years,$336.72,10/31/2012,42.63%,"$2,500",N,2.99%,2.99%
PGIM Jennison Global Equity Income Fund- Class Z (JDEZX),20 years,"$1,012.60",12/31/1997,97%,"$2,500",N,0.88%,0.88%
ClearBridge Small Cap Fund Class I (LMNSX),20 years,"$1,204.28",12/30/1985,49%,"$1,000,000",N,0.96%,0.98%
First Eagle U.S. Value Fund Class A (FEVAX),20 years,"$1,303.37",09/04/2001,10.3%,"$2,500",Y,1.13%,1.18%
Invesco International Growth Fund Class C (AIECX),20 years,"$3,337.58",04/07/1992,35%,"$1,000",N,2.1%,2.1%
MainStay CBRE Global Infrastructure Fund Class A (VCRAX),20 years,$826.12,06/28/2013,51%,"$2,500",Y,1.33%,1.35%
Manning & Napier Disciplined Value Series Class I (MNDFX),20 years,$451.34,11/07/2008,29%,"$1,000,000",N,0.55%,0.55%
Delaware Ivy Small Cap Core Fund Class A (IYSAX),20 years,$726.40,01/31/1997,127%,"$2,500",Y,1.38%,1.41%
John Hancock Funds Disciplined Value Fund Class I (JVLIX),20 years,"$12,875.65",01/02/1997,55%,"$250,000",N,0.77%,0.77%
Sterling Capital Mid Value Fund Class C (OVECX),20 years,$77.00,08/01/1996,28.77%,"$2,500",N,1.93%,1.93%
AMG River Road Small-Mid Cap Value Fund Class N (ARSMX),20 years,$277.13,03/29/2007,47%,"$2,500",N,1.32%,1.32%
Bernzott US Small Cap Value Fund (BSCVX),20 years,$155.94,09/11/2012,60%,"$25,000",N,0.95%,1.02%
Harding Loevner Emerging Markets Portfolio Advisor Class (HLEMX),20 years,"$3,812.29",11/09/1998,18%,"$5,000",N,1.2%,1.2%
Invesco Growth and Income Fund Class C (ACGKX),20 years,"$5,074.38",08/01/1946,26%,"$1,000",N,1.56%,1.56%
Madison Covered Call & Equity Income Fund Class A (MENAX),20 years,$90.65,10/30/2009,108%,"$2,500",Y,1.3%,1.3%
MFS Utilities Fund Class A (MMUFX),20 years,"$3,197.29",02/14/1992,30%,"$1,000",Y,1.01%,1.01%
John Hancock Funds II Multimanager Lifestyle Balanced Portfolio Class C (JCLBX),20 years,"$10,608.53",10/18/2005,15%,"$1,000",N,2.04%,2.04%
SGI Global Equity Fund Class I (SGLIX),20 years,$117.01,04/01/2009,122%,"$1,000,000",N,0.87%,1.01%
Walthausen Small Cap Value Fund Institutional (WFICX),20 years,$132.21,02/01/2008,65.91%,"$100,000",N,0.98%,1.35%
"Cohen & Steers Global Realty Shares, Inc. Class C (CSFCX)",20 years,"$2,006.33",05/08/1997,93%,"$2,500",N,1.86%,1.86%
JPMorgan Global Allocation Fund Class I (GAOSX),20 years,"$5,120.89",05/31/2011,116%,"$1,000,000",N,0.8%,0.95%
JPMorgan Investor Balanced Fund Class I (OIBFX),20 years,"$6,123.96",12/10/1996,12%,"$1,000,000",N,0.72%,0.72%
Manning & Napier Pro-Blend Moderate Term Series Class I (MNMIX),20 years,$509.30,09/15/1993,105%,"$1,000,000",N,0.85%,0.86%
Polen International Growth Fund Institutional Class (POIIX),20 years,$506.30,12/30/2016,33%,"$100,000",N,1.1%,1.04%
Victory Integrity Discovery Fund Class A (MMEAX),20 years,$89.01,12/26/1996,40%,"$2,500",Y,1.62%,1.62%
Virtus NFJ Mid-Cap Value Fund Class A (PQNAX),20 years,"$1,457.26",04/18/1988,197%,"$2,500",Y,1%,1.11%
Guggenheim Large Cap Value Fund Class Institutional (GILCX),20 years,$41.21,08/07/1944,25%,"$2,000,000",N,0.9%,1.35%
Invesco Select Risk: Growth Investor Fund Class C (AADCX),20 years,"$1,145.57",04/30/2004,90%,"$1,000",N,1.78%,1.78%
JPMorgan SmartRetirement® 2030 Fund Class A (JSMAX),20 years,"$6,413.46",05/15/2006,51%,$500,Y,0.85%,0.94%
Nuveen Santa Barbara Global Dividend Growth Fund Class A (NUGAX),20 years,$19.88,06/11/2012,33%,"$3,000",Y,1.15%,1.69%
Touchstone Small Cap Value Fund Class C (TVOCX),20 years,$79.12,03/04/2002,41%,"$2,500",N,2.14%,4.51%
USAA Income Stock Fund (USISX),20 years,"$2,831.09",05/04/1987,64%,"$3,000",N,0.74%,0.74%
Wells Fargo Growth Balanced Fund - Class C (WFGWX),20 years,$242.43,11/11/1994,140%,"$1,000",N,1.88%,2.05%
Fidelity® Equity Dividend Income Fund (FEQTX),20 years,"$5,943.64",08/21/1990,46%,$0,N,0.6%,0.6%
PGIM Global Real Estate Fund- Class A (PURAX),20 years,"$1,541.91",05/05/1998,158%,"$2,500",Y,1.42%,1.42%
Principal Diversified International Fund Class C (PDNCX),20 years,"$5,574.32",12/06/2000,45.1%,"$2,500",N,1.98%,2.17%
USAA Cornerstone Aggressive Fund (UCAGX),20 years,$395.74,06/08/2012,64%,"$2,500",N,1.22%,1.29%
Wells Fargo Utility and Telecommunications Fund - Class Inst (EVUYX),20 years,$451.31,01/04/1994,20%,"$1,000,000",N,0.73%,0.85%
Fidelity Freedom® 2020 Fund (FFFDX),20 years,"$24,897.56",10/17/1996,26%,$0,N,0.59%,0.59%
Fidelity ZEROSM International Index Fund (FZILX),20 years,"$3,136.42",08/02/2018,11%,$0,N,0.00%,0.00%
Hennessy Japan Fund Investor Class (HJPNX),20 years,$813.55,10/31/2003,23%,"$2,500",N,1.43%,1.43%
T. Rowe Price Global Real Estate Fund (TRGRX),20 years,$121.42,10/27/2008,39.6%,"$2,500",N,0.95%,1.2%
AB Relative Value Fund Class C (CBBCX),20 years,"$2,039.15",07/01/1932,55%,"$2,500",N,1.65%,1.74%
Delaware Mid Cap Value Fund Class C (DLMCX),20 years,$63.85,02/01/2008,43%,"$2,500",N,1.89%,2.2%
Rydex Banking Fund Class A (RYBKX),20 years,$36.78,04/01/1998,799%,"$2,500",Y,1.69%,1.69%
Rydex Banking Fund Class H (RYKAX),20 years,$36.78,04/01/1998,799%,"$2,500",N,1.63%,1.63%
Vanguard Total International Stock Index Fund Admiral Shares (VTIAX),20 years,"$416,839.53",04/29/1996,7%,"$2,500",N,0.11%,0.11%
Zacks Dividend Fund Institutional Class Shares (ZDIIX),20 years,$150.69,01/31/2014,14%,"$5,000",N,1.05%,1.12%
Lazard Emerging Markets Equity Advantage Portfolio Open Shares (LEAOX),20 years,$69.82,05/29/2015,91%,"$2,500",N,1.15%,2.58%
Pioneer International Equity Fund Class A (PIIFX),20 years,$156.21,03/25/1993,66%,"$2,500",Y,1.15%,1.51%
ProFunds Large Cap Value Fund Investor Class (LVPIX),20 years,$5.44,10/01/2002,481%,"$15,000",N,1.72%,1.72%
Invesco American Value Fund Class A (MSAVX),20 years,"$1,952.25",10/18/1993,58%,"$1,000",Y,1.18%,1.18%
Pacific Funds Small/Mid-Cap Class C (PFPCX),20 years,$369.50,12/31/2014,64%,"$2,500",N,1.95%,1.99%
Pioneer Equity Income Fund Class Y (PYEQX),20 years,"$2,430.11",07/25/1990,8%,"$2,500",N,0.77%,0.77%
TIAA-CREF International Equity Fund Retail Class (TIERX),20 years,"$6,743.08",07/01/1999,102%,"$2,500",N,0.82%,0.82%
Wells Fargo Target 2035 Fund - Class Admin (WFQWX),20 years,$197.57,06/29/2007,87%,$0,N,0.49%,0.7%
Goldman Sachs Growth and Income Strategy Portfolio Class A (GOIAX),20 years,$989.52,01/02/1998,13%,"$1,000",Y,1%,1.05%
John Hancock Funds II International Small Company Fund Class I (JSCIX),20 years,$870.25,04/28/2006,12%,"$250,000",N,1.07%,1.08%
Vanguard Global Wellington Fund Investor Shares (VGWLX),20 years,"$1,871.07",11/02/2017,68%,"$3,000",N,0.44%,0.44%
American Beacon Mid-Cap Value Fund C Class (AMCCX),20 years,$205.22,11/30/2005,35%,"$2,500",N,2.02%,2.06%
Astor Sector Allocation Fund Class C (CSPGX),20 years,$30.62,11/30/2011,119%,"$5,000",N,2.36%,3.01%
Artisan Global Value Fund Investor Class (ARTGX),20 years,"$2,473.80",12/10/2007,37.09%,"$2,500",N,1.29%,1.29%
Templeton Emerging Markets Small Cap Fund Class C (TCEMX),20 years,$513.26,10/02/2006,31.7%,"$1,000",N,2.5%,2.74%
AB Equity Income Fund Class C (AUICX),20 years,$560.87,10/27/1993,37%,"$2,500",N,1.75%,1.75%
BlackRock LifePath® Dynamic 2030 Fund Investor C Shares (LPCNX),20 years,$339.96,03/01/1994,38%,"$1,000",N,1.65%,1.91%
Catalyst Dynamic Alpha Fund Class A (CPEAX),20 years,$176.23,12/22/2011,116%,"$2,500",Y,1.38%,1.48%
PGIM Jennison Value Fund- Class C (PEICX),20 years,$509.33,01/22/1990,19%,"$2,500",N,2.32%,2.32%
Fidelity Freedom® Blend 2020 Fund (FHAVX),20 years,$868.61,08/31/2018,37%,$0,N,0.49%,0.49%
PIMCO StocksPLUS® International Fund (U.S. Dollar-Hedged) I-3 (PISNX),20 years,"$2,033.38",10/31/2003,288%,$0,N,0.93%,0.98%
Principal International Emerging Markets Fund Institutional Class (PIEIX),20 years,$294.90,12/06/2000,53.9%,"$1,000,000",N,1.2%,1.36%
Victory RS Investors Fund Class A (RSINX),20 years,$30.85,11/15/2005,66%,"$2,500",Y,1.33%,1.71%
Pioneer Mid Cap Value Fund Class C (PCCGX),20 years,$789.57,07/25/1990,65%,"$2,500",N,1.96%,1.96%
AB Discovery Value Fund Class C (ABCSX),20 years,"$3,352.44",03/29/2001,52%,"$2,500",N,1.9%,1.9%
Columbia Capital Allocation Moderate Aggressive Portfolio Class C (NBICX),20 years,"$2,135.73",10/15/1996,76%,"$2,500",N,1.77%,1.77%
DWS ESG International Core Equity Fund - Class Institutional (DURIX),20 years,$9.94,11/11/2014,68%,"$1,000,000",N,1.03%,2.16%
Franklin Multi-Asset Moderate Growth Fund I (LLAIX),20 years,$525.40,02/05/1996,24%,"$1,000,000",N,0.91%,0.91%
Janus Henderson Asia Equity Fund Class I (JAQIX),20 years,$35.95,07/29/2011,53%,"$2,500",N,1.14%,2.07%
Columbia Dividend Opportunity Fund Class A (INUTX),20 years,"$2,489.97",08/01/1988,51%,"$2,500",Y,1.06%,1.06%
"Federated Hermes Equity Income Fund, Inc. Institutional Shares (LEISX)",20 years,$917.88,12/30/1986,95%,"$25,000",N,0.87%,0.87%
Franklin Biotechnology Discovery Fund Class A (FBDIX),20 years,"$1,268.82",09/15/1997,47.3%,"$1,000",Y,0.98%,0.99%
Invesco Emerging Markets Innovators Fund Class C (EMVCX),20 years,$450.23,06/30/2014,67%,"$1,000",N,2.26%,2.45%
MFS Lifetime 2030 Fund Class C (MLTCX),20 years,$792.02,09/29/2005,27%,"$1,000",N,1.53%,1.72%
American Funds American Balanced Fund® Class C (BALCX),20 years,"$217,258.33",07/25/1975,176%,$250,N,1.33%,1.33%
BlackRock Large Cap Focus Value Fund Institutional Shares (MABAX),20 years,"$2,144.47",07/01/1977,80%,"$2,000,000",N,0.55%,0.55%
MainStay Moderate Allocation Fund Class I (MMRIX),20 years,$893.63,04/04/2005,59%,"$1,000,000",N,0.75%,0.75%
Columbia Global Value Fund Class A (IEVAX),20 years,"$1,021.92",03/20/1995,70%,"$2,500",Y,1.15%,1.15%
Fidelity® Total International Index Fund (FTIHX),20 years,"$8,571.96",06/07/2016,4%,$0,N,0.06%,0.06%
T. Rowe Price Overseas Stock Fund (TROSX),20 years,"$22,929.46",12/29/2006,13.4%,"$2,500",N,0.8%,0.8%
Vanguard FTSE All-World ex-US Index Fund Admiral Shares (VFWAX),20 years,"$54,030.60",03/02/2007,4%,"$2,500",N,0.11%,0.11%
DWS Global Small Cap Fund - Class C (KGDCX),20 years,$219.25,09/10/1991,6%,"$2,500",N,2.1%,2.29%
Touchstone Global ESG Equity Fund - Class C (TEQCX),20 years,$706.79,12/19/1997,62%,"$2,500",N,1.99%,2.14%
Wells Fargo Target 2035 Fund - Class A (WFQBX),20 years,$197.57,06/29/2007,87%,"$1,000",Y,0.6%,0.78%
BNY Mellon Small Cap Value Fund Class A (RUDAX),20 years,$198.42,02/01/2000,79.73%,"$2,500",Y,1.42%,1.42%
Delaware Small Cap Value Fund Class C (DEVCX),20 years,"$6,734.52",06/24/1987,23%,"$2,500",N,1.89%,1.89%
Federated Hermes MDT Large Cap Value Fund Class C (QCLVX),20 years,"$1,285.46",03/31/1982,139%,"$1,500",N,1.81%,1.99%
John Hancock Funds II Multimanager 2020 Lifetime Portfolio Class I (JHRVX),20 years,$743.39,10/30/2006,29%,"$250,000",N,0.67%,1.03%
Blue Chip Investor Fund (BCIFX),20 years,$46.57,12/31/2001,21.8%,"$5,000",N,1%,1.44%
BMO Small-Cap Value Fund Class I (MRSNX),20 years,$107.11,02/28/2011,67%,"$1,000,000",N,0.99%,1.24%
Northern Multi-Manager Global Real Estate Fund (NMMGX),20 years,$213.05,11/19/2008,81.36%,"$2,500",N,0.92%,1.04%
PGIM Jennison Global Infrastructure Fund- Class C (PGJCX),20 years,$55.21,09/25/2013,62%,"$2,500",N,2.25%,2.98%
UBS Global Allocation Fund Class P (BPGLX),20 years,$248.08,08/31/1992,128%,"$2,000,000",N,1.05%,1.24%
Voya Global Multi-Asset Fund Class I (VYGLX),20 years,$155.36,01/04/1995,38%,"$250,000",N,0.9%,1.12%
ClearBridge Small Cap Fund Class A (LMSAX),20 years,"$1,204.28",12/30/1985,49%,"$1,000",Y,1.16%,1.18%
PIMCO Commodity Real Return Strategy Fund Class I-3 (PCRNX),20 years,"$7,235.86",06/28/2002,260%,$0,N,0.97%,1.19%
Praxis International Index Fund Class I (MPLIX),20 years,$368.35,12/31/2010,86.12%,"$100,000",N,0.61%,0.61%
RNC Genter Dividend Income Fund (GDIIX),20 years,$27.57,12/31/2008,55%,"$2,500",N,1.25%,2.17%
Crossmark Steward Covered Call Income Fund Class C (SCJCX),20 years,$38.22,12/14/2017,135%,"$2,500",N,2%,2.96%
First Eagle Fund of America Class C (FEAMX),20 years,$570.15,04/10/1987,97.86%,"$2,500",N,1.66%,1.76%
Lazard International Strategic Equity Portfolio Institutional Shares (LISIX),20 years,"$6,652.21",10/31/2005,37%,"$10,000",N,0.81%,0.81%
Manning & Napier Disciplined Value Series Class S (MDFSX),20 years,$451.34,11/07/2008,29%,"$2,500",N,0.76%,0.76%
Undiscovered Managers Behavioral Value Fund Class C (UBVCX),20 years,"$7,355.25",12/28/1998,30%,"$1,000",N,1.8%,1.84%
Voya SmallCap Opportunities Fund Class C (NSPCX),20 years,$171.13,06/05/1995,135%,"$2,500",N,2.08%,2.35%
Federated Hermes International Leaders Fund Class C Shares (FGFCX),20 years,"$1,360.13",09/30/1998,46%,"$1,500",N,2.08%,2.13%
PGIM Jennison Global Equity Income Fund- Class A (SPQAX),20 years,"$1,012.60",12/31/1997,97%,"$2,500",Y,1.15%,1.2%
Reinhart Genesis PMV Fund Advisor Class (RPMFX),20 years,$265.14,05/31/2018,32%,"$5,000",N,0.95%,1.27%
Victory Integrity Small-Cap Value Fund Class A (VSCVX),20 years,"$1,916.66",03/30/2004,80%,"$2,500",Y,1.5%,1.5%
Walthausen Small Cap Value Fund (WSCVX),20 years,$132.21,02/01/2008,65.91%,"$2,500",N,1.21%,1.35%
Wells Fargo Low Volatility U.S. Equity Fund Institutional Class (WLVOX),20 years,$11.35,10/31/2016,108%,"$1,000,000",N,0.4%,1%
American Century Value Fund A Class (TWADX),20 years,"$2,389.31",09/01/1993,53%,$250,Y,1.25%,1.25%
John Hancock Funds Disciplined Value Fund Class A (JVLAX),20 years,"$12,875.65",01/02/1997,55%,"$1,000",Y,1.02%,1.02%
MainStay Epoch U.S. Equity Yield Fund Class I (EPLCX),20 years,"$1,123.50",12/03/2008,29%,"$1,000,000",N,0.73%,0.84%
DWS RREEF Global Infrastructure Fund - Class Inst (TOLIX),20 years,"$1,484.49",06/24/2008,54%,"$1,000,000",N,1.1%,1.14%
Invesco International Select Equity Fund Class A (IZIAX),20 years,$321.67,12/21/2015,59%,"$1,000",Y,1.13%,1.61%
Invesco Select Risk: Moderate Investor Fund Class A (OAMIX),20 years,"$2,269.13",04/05/2005,88%,"$1,000",Y,0.96%,0.96%
Manning & Napier Pro-Blend Moderate Term Series Class S (EXBAX),20 years,$509.30,09/15/1993,105%,"$2,500",N,1.07%,1.07%
Transamerica Global Equity Class I (TMUIX),20 years,$100.17,03/01/2006,71%,"$1,000,000",N,1.1%,1.1%
Wells Fargo Utility and Telecommunications Fund - Class Admin (EVUDX),20 years,$451.31,01/04/1994,20%,$0,N,0.93%,1.1%
BMO Balanced Allocation Fund Class Y (BGRYX),20 years,$254.08,05/30/2014,60%,"$2,500",N,0.83%,0.99%
Clough China Fund Class Investor (CHNAX),20 years,$37.21,12/30/2005,120%,"$2,500",N,1.6%,1.89%
Delaware Global Listed Real Assets Fund C Class (DPRCX),20 years,$125.64,11/11/1997,84%,"$2,500",N,2.08%,2.28%
Guggenheim World Equity Income Fund Class C (SFGCX),20 years,$52.87,10/01/1993,192%,"$2,500",N,1.97%,2.4%
BlackRock LifePath® Dynamic 2025 Fund Institutional Shares (LPBIX),20 years,$114.20,06/30/2010,45%,"$2,000,000",N,0.65%,0.91%
Clough China Fund Class A (CHCAX),20 years,$37.21,12/30/2005,120%,"$2,500",Y,1.6%,1.82%
Delaware Extended Duration Bond Fund Class A (DEEAX),20 years,$584.40,09/15/1998,85%,"$2,500",Y,0.82%,0.96%
Virtus AllianzGI International Small-Cap Fund Institutional Class (ALOIX),20 years,$79.41,12/31/1997,60%,"$1,000,000",N,1.04%,1.62%
JPMorgan Equity Premium Income Fund Class C (JEPCX),20 years,"$1,638.84",08/31/2018,236%,"$1,000",N,1.36%,1.41%
JPMorgan Investor Balanced Fund Class A (OGIAX),20 years,"$6,123.96",12/10/1996,12%,$500,Y,0.97%,0.97%
Nuance Concentrated Value Fund Institutional Class (NCVLX),20 years,$494.25,05/31/2011,87%,"$10,000",N,1.04%,1.1%
Thomas White International Fund Class I (TWWIX),20 years,$92.03,06/28/1994,24%,"$1,000,000",N,0.99%,1.49%
T. Rowe Price QM U.S. Value Equity Fund (TQMVX),20 years,$40.04,02/26/2016,40.8%,"$2,500",N,0.72%,2.17%
Guggenheim Large Cap Value Fund Class P (SEGPX),20 years,$41.21,08/07/1944,25%,"$2,500",N,1.15%,1.72%
JPMorgan Global Allocation Fund Class A (GAOAX),20 years,"$5,120.89",05/31/2011,116%,"$1,000",Y,1.05%,1.21%
Kempner Multi-Cap Deep Value Fund Investor Class (FAKDX),20 years,$87.13,04/25/2008,21%,"$2,500",N,1.24%,1.24%
OnTrack Core Fund Investor Class (OTRFX),20 years,$270.00,01/15/2013,213%,"$2,500",N,3.45%,3.45%
PartnerSelect International Fund Institutional Class (MSILX),20 years,$354.43,12/01/1997,59.61%,"$10,000",N,1.15%,1.39%
Virtus AllianzGI Emerging Markets Opportunities Fund Class C (AOTCX),20 years,$291.02,05/27/2004,83%,"$2,500",N,2.04%,2.22%
American Century Investments® Focused Large Cap Value Fund I Class (ALVSX),20 years,$934.95,07/30/1999,112%,"$5,000,000",N,0.63%,0.63%
Diamond Hill Small Cap Fund Investor Share (DHSCX),20 years,$590.00,12/29/2000,34%,"$2,500",N,1.26%,1.26%
DWS RREEF Global Real Estate Securities Fund - Class C (RRGCX),20 years,$259.59,07/03/2006,115%,"$2,500",N,1.95%,2.1%
Fidelity® Select Consumer Staples Portfolio (FDFAX),20 years,"$1,441.33",07/29/1985,61%,$0,N,0.75%,0.75%
Polen International Growth Fund Investor Class (POIRX),20 years,$506.30,12/30/2016,33%,"$3,000",N,1.35%,1.29%
Transamerica Mid Cap Value Opportunities C (MCVCX),20 years,"$1,414.56",04/30/2014,40%,"$2,500",N,1.91%,1.91%
